Designator,Mid X,Mid Y,Layer,Rotation
C1,187.90,-100.05,T,90.00
C2,168.50,-91.50,T,0.00
C3,174.30,-97.00,T,0.00
C4,172.60,-83.97,T,270.00
C5,174.70,-83.97,T,270.00
C6,174.22,-77.80,T,180.00
D1,178.80,-99.10,T,0.00
D2,166.40,-87.50,T,0.00
D3,170.00,-94.80,T,270.00
J1,167.00,-75.50,T,270.00
J2,169.83,-77.56,B,90.00
J3,165.35,-98.00,T,270.00
L1,173.00,-88.65,T,90.00
R1,188.90,-94.50,B,0.00
R2,175.62,-99.10,T,180.00
R3,170.70,-84.10,T,90.00
R4,169.10,-84.08,T,270.00
R5,166.38,-89.10,T,0.00
U1,193.80,-97.00,T,90.00
U3,173.50,-94.00,T,270.00
